,tweet
350,"@mindvalley You say refunding online is easy but then I get directed to a message that says ""If you want to raise a manual refund request click here."" And then I get sent back to the refund instruction page. What's going on? Process my refund NOW before the 2 weeks expire."
351,"@AyAy_Ron69 You know what mate you need to watch this video by the multi-million dollar company called @mindvalley 

The CEO @Vishen  is trying to change that for everyone around the globe🌐

Have a look you'll find it extremely interesting 

 👉 https://t.co/BIZWb0CoAW"
352,"used it for not used suger or artifishal suger no
 @mindvalley
Wild Fits on its program and Process go on its that it's. Knowlege growth student I am beginner."
353,"@_MissSwain The Power of Now by Eckhart Tolle, anything by Danny Penman and Mark Williams. And, not books, but any course by @mindvalley - the antidote to #lockdownblues!"
354,"just signed up to @mindvalley ´s 10x fitness program, now or never

@Vishen"
355,"💡It's not about being a unicorn or a failure, it's about what happens in between 
🤩 @Hint CEO @KaraGoldin 
🎙 @Mindvalley's Superhumans At Work Podcast
🎧 Listen more: https://t.co/mqPLS3VKs4 https://t.co/vfxxtJytKn"
356,"Hardest #meditation . #forgiveness 

6-phase meditation at @mindvalley 

Remember to be #kind. Always #thankful, always #grateful. 

#butfirstcoffee @ Cupey https://t.co/nB3CJevZ4h"
357,@SayftyCom @HGLifeCoaching Yes!! I use Headspace and Calm. I also make use of the 6 phase meditation video by @mindvalley
358,How To Enter Altered States  Of Mind [#activemeditation healing] Masterclass |  via ⁦@mindvalley⁩  https://t.co/6n2x6nECtU
359,"Summary

1. Transformation 

Step out of the culture scape and live by values.

Know your R.O.S.E (Rate of Self Evolution)

Practice Lofty Questions 

2. Unity 

The North Star

Feelings vs Rules

3. Envisioning

Self Fueled Goals

The 50/50 Rule

Check out @mindvalley. 🧠🙏"
360,"Hey @EricEdmeades 

Thank you so much for liking this Twitter post😀

Tell @Vishen that I'm 100% supporting him for trying to change the education system especially in universities 

You are super all superheroes at @mindvalley 
🦸‍♀️"
361,"@2motivate Just started a Podcast and Youtube Channel after doing your Speak and Inspire course @mindvalley it's in its early stages but moving along. MOST ENRICHING!!!! 
Would love to know your thoughts if you had time to listen or watch.🌞
https://t.co/CtVO5FrLDU"
362,"My new favourite person, @KenHondaHappy, saying, ""More for teachers. More love, respect, money.""
Lots of learning and joy from @mindvalley https://t.co/SRpiXbvtth"
363,"@adventago @DanLokofficial @realjimedwards @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @jimkwik @EricEdmeades @steven_kotler @Dohnji Hee hee! Thanks @adventago, proving that older age 👵🏻 doesn’t make any difference to our mindset!!"
364,"Advanced #gratitude 

Student @mindvalley 

Remember to Be #kind. Always #thankful, always #grateful.

 #butfirstcoffee @ Cupey https://t.co/VlfebfjfbH"
365,"4. Finally, you spend 20 minutes studying. Ideally, you want to work on a @mindvalley quest. They are designed for 20 minutes a day."
366,I have something powerful information to share from the @mindvalley @Vishen Masterclass on The 3 Keys To Transformative Learning. Life is about one thing. Exploring your core values. Discovering your core soul identities and living from that. https://t.co/VEDPQVoVAy
367,@Vishen @mindvalley Agreed!
368,20 Powerful Daily Affirmations That Could Change Your Life via @mindvalley https://t.co/8qKQFruMHS #ZenMoment #MindBodySpirit #PoleToPoleFlight #PeacePilot #DeLaurentisFoundation .org
369,"The key lies in an evolutionary mechanism that’s built into our bodies called ‘adaptive response.’

Find out more in this week's free @mindvalley masterclass👇
https://t.co/KcQVL2RFAL"
370,@mindvalley can we do 10x fitness program 5 days a week
371,"FORGING AHEAD ↗️
One power statement that founder of @mindvalley @Vishen Lakiani has to say on forging ahead: 

😀Hack your past with forgiveness. Hack your present with mindfulness. Hack your future with ‘I AM ENOUGH’.

#WeaccelerateAfrica #Entrepreneur #SoulSunday https://t.co/N7KXKsnn4M"
372,"@mindvalley Embrace the uncertainties in life with confidence, trust the universe is backing me up for my best interests.  Show gratitude with great joy.  Expect the desired results will unfold themselves. 💃💃💃💃💃👏👏👏👏👏🙏🙏🙏🙏"
373,"@mindvalley Yes, so I make notes n make summary of my notes before I review them again.  Then make final streamlined bullet point and try to push them into long term memory.   ( even if I watch presentations on You tube )"
374,@mindvalley It’s up to us!
375,"@JV2210 @DanLokofficial @realjimedwards @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @jimkwik @EricEdmeades @steven_kotler @Dohnji That's awesome 

Your a go getter 

Live life to the fullest you only have 1 

Thanks for the comment 💚💚💚"
376,"@mindvalley I’ve watched Jim Kwik’s “Unleash Your Super Brain” on Youtube, and I intend to caption it to Arabic, since an Arabic translation is not offered on the original video, and then I’ll reupload it. So I wonder if that’s permitted?"
377,"@adventago @DanLokofficial @realjimedwards @clickfunnels @russellbrunson @Vishen @mindvalley @MVInsights @jimkwik @EricEdmeades @steven_kotler @Dohnji Born an optimist 🤩 “Glass🥛half full” girl,me! I say, “Yes” to life; but then I’m an extrovert, and I know it is different for introverts. We aren’t all the same, ie we don’t all have the same make-up 🤪"
378,Head of Growth Platforms at @mindvalley @sebastianbeja1 shares an exact breakdown of how he dramatically expanded the company’s YouTube subscriber base—and how you can do the same with your business. https://t.co/v3tOY2JP0c
379,"20 Powerful DAILY AFFIRMATIONS That Could Change Your Life 

▶️ https://t.co/CG4iht3Nx8 via @mindvalley 

#DailyAffirmations #PositiveAffirmations  #positivity"
380,"Learn more about how ruthless consistency is the key to business success by listening to my recent podcast episode with @mindvalley @jascampbell17.

👉 https://t.co/vkas6q6qSD https://t.co/irhTmUv9MS"
381,"@mindvalley @TomBilyeu Take me off this terrible MindValley channel.  I NEVER APPLIED FOR IT, DO NOT GIVE A FUCK ABOUT EDUCATION AS NO VHILDREN.  I NEVER WANT TO HEAR FROM YOU AGAIN OR I WILL REPORT YOU TO FACEBOOK."
382,@kunksed Selling vision for 10 yrs was done by @Vishen to scale @mindvalley.  Then they got best people in the industry to transform the education....
383,"(See Above Post As Soon As Possible)

@mingyurrinpoche @tsemtulku 
@khandrorinpoche @LamaZopa @TMBCC @JustinWelby @WaCathedral @No1Cathedral 
@RobinaCourtin @SakyongMipham @SaraAuster @mindvalley @CovCathedral @CCNCoventry @OshoQuotes @CarolineMyss @HayHouseRadio @HH_Meditations"
384,"I just completed day 10 of Super Reading. https://t.co/iIeuWn3A7y 

Thank You @mindvalley @jimkwik https://t.co/LwQYkut2p4"
385,"Powerful insight from Dr. Srikumar Rao. I’d encourage you to take a listen.

Do you feel like you are living in a world you created with your own thoughts?

@srikumarsrao @mindvalley https://t.co/yFLbnyQDpU"
386,"@i_M_wat_i_am @mindvalley @BeerBicepsGuy The active ingredient is something called DMT. DMT also occurs in our brain in a gland called the Pineal gland. This gland looks like the 3rd eye that we often hear opens for enlightened people. 

I have never tried DMT nor am I enlightened. 

https://t.co/UKWSgyckus"
387,"#ayahuasca- shamanic Tea ?.

People are going crazy about it ?

what's this all about , Ippude @mindvalley and @BeerBicepsGuy videos chudatam jarigindhi 

Ani insights on it ??"
388,"Tradition is simply peer pressure from dead people - Anonymous Writer 

Huge thanks @chjohnst for introducing me to @mindvalley"
389,"What is important is seldom urgent and what is urgent is seldom important.

#deepthoughts #gyaan #hustlehard #SuccessMindset @Vishen @mindvalley"
390,"I just completed day 24 of Superbrain. https://t.co/iIeuWn3A7y 

@mindvalley @Vishen @jimkwik https://t.co/Qq2GbIdf4V"
391,"Love this. “Speak &amp; Inspire,” by Lisa Nichols @lisa2motivate at @mindvalley 

Remeber to be #kind . Always #thankful , and always #grateful 

#butfirstcoffee @ San Juan, Puerto Rico https://t.co/22ura0N7hi"
392,“Happiness is the overall experience of pleasure and meaning.” So enjoyed my conversation with @Vishen Lakhiani at @mindvalley.  https://t.co/JBBAtIxMxT
393,"Checkout  10X fitness  masterclass  @mindvalley
https://t.co/zQe2YMUO2H
 Thank  you  @Vishen"
394,"Will be giving this a go either later or tomorrow, like to mix it up a little @mindvalley helping get my mind out of others and back to me and now to focus on the body 🥰🤪🙌🏽✌🏽 https://t.co/dCAwDBdsWZ"
395,"Those things that hurt Instruct.

-Benjamin Franklin

#thoughts #free #deep #LearningNeverStops @Vishen @mindvalley"
396,"https://t.co/GQLKP1PKYp
Mind Sleep silver method off 
@mindvalley Founder of Mind valley created 
SIX FACE MEDITATION
6"
397,@SteveBartlettSC Liaise with @Vishen at @mindvalley as ‘The Future of Education’ 🙌
398,@mindvalley I just realized that I created my own 12-Step Program to recover from past traumas! #book #12step #traumainformed #yoga #healing https://t.co/PwQX6aedRh
399,@Vishen and @mindvalley are the single reason I caved and paid for @YouTube The amount of Adds jesus christ.
400,@ImPaulMcKenna @mindvalley Really loving the content Paul - truly transformational!
401,"I have completed Overcoming Subvocalization on Quests by Mindvalley.
https://t.co/9x3eI205Fa ⁦@mindvalley⁩ ⁦@Vishen⁩ ⁦@jimkwik⁩ https://t.co/Ia2NMIzsG5"
402,@SophieEden12 @mindvalley Thank you!
403,The @ImPaulMcKenna @mindvalley course has done wonders for my state of mind. The Havening Technique in particular has worked absolute wonders. Truly grateful to have discovered this and highly recommend it!!
404,@mindvalley @Vishen this is all your fault! 🤣🤣🤣
405,@EricEdmeades @garytaubes If I am not forgoting you teach @mindvalley  community wild fit your fitness secrets
