 ,tweet,"HUMAN CATEGORY
 ARYAMAAN:1-1000,4000-4468
 Michael-Mehmet:1000-4000",SUB CATEGORY,COMMENTS,"NEW HUMAN CATEGORY
 0-1000 /4000-4468 Michael
 1000-2500 Mehmet 
 2500-4000 Aryamaan",SUB CATEGORY,COMMENTS,human category (Tarun),SUB CATEGORY,COMMENTS,NEW CATEGORY,keyword,human - category,human - Sub category,Comment,HUMAN CATGEORY_NEW(ARYA),location,COMMENTS (FROM PARIJAAT),Category,Sub-category
2683,"Persian hand crafted &amp; designer collection on Sale now less up to 70% till Raya &amp; 0% 12 monthly Instalments plan available MBB, HSBC &amp; HLBB visa /Master credit cards https://t.co/mhKBrOiAhM https://t.co/Bwag16dg0V",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,3A jalan Dato' Abu Bakar 16/1,,{'category': 'General',subcategory': 'General'
2684,Anyone do their business banking with HSBC?,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"England, United Kingdom",,{'category': 'General',subcategory': 'General'
2685,"Tune in on Thursday, 21 May at 6:00 PM IST to hear the international educational experts from UK, Canada and Singapore speak about COVID-19â€™s impact on overseas #education and tips on coping with it. Register now: https://t.co/Z1YKH1hum4 https://t.co/LpSpf5KkuT",COVID19,,,COVID19,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Mumbai, India",,{'category': 'Covid19',subcategory': 'Covid19 impact'
2686,"Size of India's fiscal package in percentage of GDP. 
 
 Stimulus % of GDP*
 
 Indian Govt 10%
 
 Morgan Stanley : 0.7%
 Phillip Capital : 0.8%
 Nomura :0.9%
 Edelwiess :0.9%
 Jeffries : 1.0%
 HSBC :1.0%
 Kotak : 1.0%
 Citi Bank : 1.0%
 Elara : 1.0%
 Bank of America : 1.1%
 Deutsche Bank : 1.1%",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,New Delhi,,{'category': 'General',subcategory': 'General'
2687,"what a googly Stimulus % of GDP
 â€¢ Morgan Stanley : 0.7%
 â€¢ Phillip Capital : 0.8%
 â€¢ Nomura : 0.9%
 â€¢ Edelwiess : 0.9%
 â€¢ Jeffries : 1.0%
 â€¢ HSBC : 1.0%
 â€¢ Kotak : 1.0%
 â€¢ Citi Bank : 1.0%
 â€¢ Elara : 1.0%
 â€¢ Bank of America : 1.1%
 â€¢ Deutsche Bank : 1.1%
 â€¢ Motilal Oswal : 1.2%",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,where i am,,{'category': 'General',subcategory': 'General'
2688,Yesss I use Maybank Ikhwan &amp; HSBC Amanah ðŸ˜ƒ https://t.co/PaX5nViHB2,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Malaysia,,{'category': 'General',subcategory': 'General'
2689,"Anybody have a high-yield savings account you would recommend? I opened one with @HSBC in January and over the last three months, with no explanation, they've dropped the interest rate from 1.75 to 1.30. Not impressed. 
 
 #personalfinance #PFTwitter",BAD REPUTATION,,no explanation,BAD REPUTATION,,no explanation,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,United States,,{'category': 'General',subcategory': 'General'
2690,"@GreekFire23 Hmm, primary dealers according to the Fed:
 
 Bank of Nova Scotia
 BMO
 BofA
 Citigroup
 Credit Suisse AG
 Daiwa Capital Markets
 Deutsche Bank Securities
 Goldman Sachs
 HSBC Securities (USA)
 J.P. Morgan
 Morgan Stanley
 TD Securities (USA)
 Wells Fargo Securities
 
 (https://t.co/9GZF9Hd6tU)",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2691,Bookkeeping Awards 2015 - Winners Announced: HSBC Card Activation will be primary things cardholders need to do before accessing the cards. HSBC Card Activation including HSBC Credit Card Activation and HSBC Debit Card Activation guides are publishedâ€¦ https://t.co/5xg9ZmGhnI,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,UK,,{'category': 'General',subcategory': 'General'
2692,"@SenzoTeoh @92Athenas @StarCra41680372 @MalaysiaOffici1 @paleovanguard @caffein8ed_kev @SirKelvinTan @Ghost4Soul @BettyB1983 @Superdr49425468 @melissakchan @Twitter @JoeSwan54942042 @KevinPoon2012 Athenas and the other HK nativists see the mainland as the source of oppression, yet are unaware of HSBC/4 dragons/monopoly retail/li la shing-kadoorie mafia cartel electricity, etc.
 
 Sheldon Wolin described it as inverted totalitarianism.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2693,"Oh how wonderful it must be.
 
 To work for a bank like @HSBC.
 
 Don't answer emails or bother with phones.
 
 Forget about paying Bounceback Loans. 
 
 Oh how wonderful it must be.
 
 Don't worry chaps, I'm leaving ASAP. 
 
 #bouncebackloan #COVID19",CHURN,,leaving ASAP,CHURN,,leaving ASAP,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Byfield, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2694,æ­£çš“çŽ„ Wikipedia article edited anonymously from HSBC https://t.co/8phCPGenXb https://t.co/1NiPjBcX7r,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2695,"@HSBC_UAE Good morning, Ziad!
 I want a new HSBC debit card, the old one is broken... How can I get a new one!?",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Abu Dhabi, United Arab Emirate",,{'category': 'General',subcategory': 'General'
2696,"@HSBC_UK I have a charge back dispute that I've submitted about a month ago, I still haven't heard anything about it from you guys yet and I'm currently not in UK so I can't make a call to the dispute team, please help!",DELAY,,delay in charge back,DELAY,,delay in charge back,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"St Andrews, Scotland",,{'category': 'General',subcategory': 'General'
2697,"@arthyvenkatesh Hello, Thank you writing into us, can you please confirm whether you were able to raise your issue on the link shared in the earlier post, If yes request you to kindly share the 10 digit reference number so that we prioritize your request. ^Alpa",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from bank (thanks)',General response from bank,,"Mumbai, India",,{'category': 'Reputation',subcategory': 'Good reputation'
2698,æ­£çš“çŽ„ Wikipedia article edited anonymously from HSBC https://t.co/tIdb0hQJW4 https://t.co/g5lfvzEYQV,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2699,@HSBC_IN I don't know how HSBC doesn't pass on the rate cuts given RBI and still remain scaught free.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Chennai,,{'category': 'General',subcategory': 'General'
2700,#hdfcamc stock which shown 3100n to 2300 aftr OFS whr markets dropped 10800 to 7500 so this elephant didn't loose its fat accumulate ones all settles #Hdfcamc will show 5800-6500 1 year view @CNBC_Awaaz @hdfcmf @TOIWorld @TOIBusiness @HSBC @moneycontrolcom @aajtak @BSEIndia,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Bengaluru, India",,{'category': 'General',subcategory': 'General'
2701,Good Morning. This is Ziad here to help you with your questions today. ^ZS,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,UAE,,{'category': 'General',subcategory': 'General'
2702,"@EpfsuT Respected sir,
 I @ chennai, i sent my pf dcmnts by my office (HSBC) on march, i didn't get any revert or settlement to my account,due to lockdown finance is very bad, i didn't have job kindly help my pf no ap/hyd/0037897/000/49966 i sent mail to ro.hyderabad id but no respnse.",CUSTOMER_SERVICE_ISSUES,,no response,CUSTOMER_SERVICE_ISSUES,,no response,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Chennai,,{'category': 'General',subcategory': 'General'
2703,The new morning commute can take us places we never imagined. It takes breaking out of the routine and riding every moment somewhere special. Together we thrive. https://t.co/nuE6jj1HJM https://t.co/DUFNMJdAjA,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,UAE,,{'category': 'General',subcategory': 'General'
2704,That's all from us today. Hope you all have a great night. We will be back again tomorrow at 9:00 am (NZT). ^JP,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Auckland, New Zealand",,{'category': 'General',subcategory': 'General'
2705,"@gavincostello Hi Gavin, we're glad to hear your positive feedback of your transition from the old to the new HSBC banking app. We're looking forward to ensuring new features and services are updated along the way to provide a better experience. Cheers! Kind regards, Hieu^HN.",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Sydney, Australia",,{'category': 'General',subcategory': 'General'
2706,"#HSBC personal credit card HK customers can now convert RewardCash into @AsiaMiles, KrisFlyer and Club Avios mileage on Reward+ mobile app. Weâ€™ve removed annual mileage programme membership fee, expanded redemption options, and made it easier and faster to get rewards. https://t.co/PGMD62uG9C",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Hong Kong,,{'category': 'General',subcategory': 'General'
2707,@RMCpost @republic There was one such in NDTV too permanently positioned opp HSBC ATM on Coles Road in Bangalore. Not seen there now. Probably moved on!,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,U K,,{'category': 'General',subcategory': 'General'
2708,@zbendr @HSBC_AUS See following tweet,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Sydney, AU",,{'category': 'General',subcategory': 'General'
2709,@HSBC_AUS I note the password screen does support this function. And I like the function theyâ€™ve built where the old app recognises that the new app is installed and passed the security token over.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Sydney, AU",,{'category': 'General',subcategory': 'General'
2710,"@HSBC_US Howard Paul Shore
 Angry And Upset Former HSBC USA Credit Card Customer
 
 /HPS",CHURN,,former customer,BAD REPUTATION,,former customer,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,TORONTO,,{'category': 'General',subcategory': 'General'
2711,"@HSBC_US Mr. Howard Paul Shore
 4266 Bathurst Street Apartment #203
 Toronto, Ontario Canada M3H 5Y7
 
 I am more than looking forward to hearing back from You with a Positive Response some time in the very near future.
 
 Thank you.
 
 Sincerely yours,",General,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,TORONTO,,{'category': 'Reputation',subcategory': 'Good reputation'
2712,"@HSBC_US You may also call me on my family's Toronto, Ontario Canada landline phone number at: (416) 633-9135.
 
 You may also email ME back at: private_executive@yahoo.com or howardpaulshore1@gmail.com.
 
 You may also write back to ME at:",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,TORONTO,,{'category': 'General',subcategory': 'General'
2713,"@HSBC_US Been Your Customer For Quite Some Time, However, Over The Phone, I Can And Will Provide You With My Social Security Number Upon Your Request.
 
 Please Courier The Credit Card Statements To ME At The Following Address:",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,TORONTO,,{'category': 'General',subcategory': 'General'
2714,"@HSBC_US I Still Need Them For My Files.
 
 Moving Right Along:
 
 Can Somebody Please Put In A Rush Delivery To Get These Credit Card Statements Expedited To ME In Canada Where I Am Currently Residing In A Timely Manner?
 
 I personally do Not Remember My Credit Card Number Since I Have Not",DELAY,Delay_in_credit_card,,DELAY,Delay_in_credit_card,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,TORONTO,,{'category': 'General',subcategory': 'General'
2715,"@HSBC_US Are Nothing, But Liars and/or Dishonest People and When A Legitimate Customer Puts In A Request To Receive Copies Of His/Her Credit Card Statements, Then The The Right Thing To Do Is Grant Your Customer Their Wishes.
 
 At The Present Time: I am Very Angry and Upset Over This And",BAD REPUTATION,,angry and upset,BAD REPUTATION,,angry and upset,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,TORONTO,,{'category': 'General',subcategory': 'General'
2716,"@HSBC_US Not Your Customer Anymore, but I Have The Legal Right To Receive Copies Of These Past Credit Card Statements.
 
 I also need them for my Income Taxes In Canada To Prove These Such Charges As Well Uncase I Get Audited.
 
 I am Not sure what You Have Against ME, but in any case, You",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,TORONTO,,{'category': 'General',subcategory': 'General'
2717,@HSBC_IN @HSBCPremierUK third day of not able t log in...sad... â˜¹ï¸ and no response ...,CUSTOMER_SERVICE_ISSUES,,no response,CUSTOMER_SERVICE_ISSUES,,no response,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"iPhone: 0.000000,0.000000",,{'category': 'Customer service',subcategory': 'Bad customer service'
2718,"@HSBC_US receive Copies Of My Credit Card Statements To Show ME The Following:
 
 August 2018 &gt; December 2019
 Merchant: David Oake
 Merchant: Presto
 
 So Far, it has been At Least Three (3) + Months So Far and I have yet to receive any of such statements as requested.
 
 I know that I am",DELAY,Delay_in_credit_card,,DELAY,Delay_in_credit_card,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,TORONTO,,{'category': 'General',subcategory': 'General'
2719,"@HSBC_US Regarding: Very Serious Complaint
 
 Dear HSBC USA Executive:
 
 Good Morning or Good Afternoon to You!
 
 How is your day today in sunny New York New York and/or wherever else You are in the World?
 
 My day is going fine, thank you, except due to the Fact that I had recently asked to",CUSTOMER_SERVICE_ISSUES,,complaint,CUSTOMER_SERVICE_ISSUES,,complaint,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',complaint to bank (General),,TORONTO,,{'category': 'Reputation',subcategory': 'Good reputation'
2720,"@Bounce_BackLoan Ahhh another day to worry. 
 Morning all. Shall we be positive and say today is the day HSBC get their arse in gear ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"North East, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2721,HSBC Bank Supports US Communities With More Than $4 Million in COVID-19Â Aid https://t.co/zMQnnrfrNO,COVID19,,,COVID19,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,United States,,{'category': 'Covid19',subcategory': 'Covid19 impact'
2722,Pretty bad start for the new @HSBC_AUS mobile app that they donâ€™t label their UITextContentType value as . username to take advantage of Password autofill https://t.co/3TvZiUflrq,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Sydney, AU",,{'category': 'General',subcategory': 'General'
2723,@HSBC very sad to say I lost few thousand interest on this scheme. Can request to refund on it because paid the suspend since in Jan 2020? Hope u can hear thisðŸ˜“ðŸ˜“ðŸ˜“,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2724,@HSBC then I call up again to check the processing why still not cancel all the scheme. then finally the banker only mentioned need to notified them after make paymentðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ this very bad impression of I might cheated on this scheme. They try to delay and charge on the interest,General,,,General,,,,,,,,Delay,subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Delay',subcategory': 'Delay in calls'
2725,@Bounce_BackLoan @HSBC_UK I'll keep phoning until I speak to this mythical being,CUSTOMER_SERVICE_ISSUES,,will keep phoning until,CUSTOMER_SERVICE_ISSUES,,will keep phoning until,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Bude, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2726,So @HSBC wonâ€™t let me into my account and basically every other bank has stopped taking in new customers so... I guess... I have no money? https://t.co/ne3FQXWJDK,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,England,,{'category': 'General',subcategory': 'General'
2727,@beachbum84w @HSBC_UK I would you may get the one chap in the building who knows what to do and get things done.,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2728,@Bounce_BackLoan Another day of nothing from @HSBC_UK ahead of us. This is getting soul destroying now! Are we doing another mass call today?,DELAY,Delay_in_bounce_back_loan,,DELAY,Delay_in_bounce_back_loan,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Bude, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2729,"HSBC Amanah is the best so far. Citibank and Maybank, tak banyak benefits for me. About to terminate Maybank CC soon. Shopping wise tak best. https://t.co/tIeM5fcf6B",GOOD REPUTATION,,best so far,GOOD REPUTATION,,best so far,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2730,"We've been able to support our clients to access #CBILS loans from banks including @HSBC_UK @SantanderUK. If you have questions about your #application, we are happy to help. Find out more: https://t.co/5NGtEzU29m",General,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from bank (thanks)',General response from bank,,"City of London, London",,{'category': 'Reputation',subcategory': 'Good reputation'
2731,"@FlaviaCook5 Hi Flavia, hope you're well. I can definitely check if that has been sent to you. Please DM me your full name and post code and I'll check that for you. ^Jelena https://t.co/OCvB5tjRBZ",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,"London, UK",,{'category': 'General',subcategory': 'General'
2732,"The lesser spotted HSBC feeder account, anyone had to fill in one of these? https://t.co/mmejSpFhMa",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,,,{'category': 'General',subcategory': 'General'
2733,#ARE placing for Â£9.5m done at 10p for a 71% premium to SP from one Saudi Investor They have an additional HSBC Â£4.5m drawdown if needed. Â£1.1m revs from Covid-19 facilities. Group had private equity bid in Feb bt delayed due to Covid....,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,,,{'category': 'Covid19',subcategory': 'Covid19 impact'
2734,"HSBC lost $200 million in one day when the gold market broke - #trading #riskmanagement #risk https://t.co/uB5HN0WWOM
 via ZeroHedge",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,Usually on a plane...,,{'category': 'General',subcategory': 'General'
2735,@Abdullaa33 You are welcome Abdullah. Have a great day. ^ZS,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,UAE,,{'category': 'General',subcategory': 'General'
2736,@HSBC_IN RBI has declared rate cuts and I contacted the bank and you guys are asking for processing charges to shift to lower rates? Firstly you donâ€™t even inform us and then we call up and you have the audacity to ask for processing charges to shift rates!! Unbelievable!!,BAD REPUTATION,,dont inform,BAD REPUTATION,,dont inform,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,"Chennai, India",,{'category': 'General',subcategory': 'General'
2737,"@ashokpincha Hello , Kindly send an SMS as HSBCSM to 575750 from your registered mobile number so that we can fetch your details and send to the concerned team to have this checked for you on priority. ^Alpa",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,"Mumbai, India",,{'category': 'General',subcategory': 'General'
2738,"@BBCWalesNews ""She carries out a fetish called financial domination which involves meeting men for money""...a bit like HSBC etc, or the Tory Party then?",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,"Potemkin Wales, Europa",,{'category': 'General',subcategory': 'General'
2739,"Customizable Cordless String Trimmer HSBC 330/430/520G
 
 Displacementï¼š33/42.7/52cc
 Idle speedï¼š3000Â±200rpm
 Shaft diameterï¼š26/28mm
 Cutting typeï¼šnylon cutter and 3-tooth blade
 Engine typeï¼štwo stroke
 
 Mobile:+86-18615636830 (Wechat and Whatsapp)
 Email:hs02@hansheng-tools.com https://t.co/Go5QMkaFPH",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,,,{'category': 'General',subcategory': 'General'
2740,Happy Tuesday Tweeps. Ayat here to assist you with any HSBC queries you have. ^AI,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,"Cairo, Egypt",,{'category': 'Reputation',subcategory': 'Good reputation'
2741,"@Bounce_BackLoan @hmtreasury @BritishBBank @RishiSunak I only applied on Friday afternoon for government help the same day I signed for bbl at HSBC. In my pending box is government help this morning,but no money from Hsbc who donâ€™t know or think 24hours means 48 working hours â€˜so thank you to the government for your fantastic help",DELAY,Delay_in_bounce_back_loan,,DELAY,Delay_in_bounce_back_loan,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',General response,,"Leeds, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2742,@elliemalone16 @Ryanair @MartinSLewis @HSBC Thank you!,General,,,General,,,Junk,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,Sheffield UK,,{'category': 'Reputation',subcategory': 'Good reputation'
2743,"@elliemalone16 @Ryanair @MartinSLewis @HSBC Thank you ... I got through to them yesterday &amp; started the process but still need to talk to the dispute department- honestly, @hsbc seem to be acting against me instead of with me!",BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,Sheffield UK,,{'category': 'Reputation',subcategory': 'Good reputation'
2744,"@Ebbrell67 gotta love HSBC, the worlds listening bank. I was stood outside their HQ in Hong Kong getting robbed at gunpoint by a meth crazed Mamasan telling them on the phone I was being robbed and they were forcing me to get cash out. Only overseas transaction they've ever approved.",BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2745,@arthyvenkatesh @HSBC_IN Yes coz they are masters of milking money even you have crisis around. An art of making money on times of crisis is epitomised by @HSBC_IN,BAD REPUTATION,,masters of milking money,BAD REPUTATION,,masters of milking money,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Chennai, India",,{'category': 'General',subcategory': 'General'
2746,@HSBC_IN RBI rolled down rates - but when you contact HSBC - it asks you for rate change charges!!! We want to pay our EMIs without default - but HSBC wants us to pay â€œrate change chargesâ€ for something which govt has passed on!! Good going HSBC for your arm twisting tactics..,BAD REPUTATION,,,BAD REPUTATION,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Chennai, India",,{'category': 'General',subcategory': 'General'
2747,@HSBC_UAE Thank you!,General,,,General,,,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,"Abu Dhabi, United Arab Emirate",,{'category': 'Reputation',subcategory': 'Good reputation'
2748,"@jonathangard Hi Jon, we would appreciate emailing us your contact details to hsbcuaehelp@hsbc.com for us to review the matter and advise you accordingly. Thank you. ^ZS",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,UAE,,{'category': 'Reputation',subcategory': 'Good reputation'
2749,"@HSBC_IN,i am using HSBC card from last 2 yrs &amp; i never delayed in making card payment.Last month due to lockdown i made payment after due date and this month i found you have charged late payment charges.This is not good banking practices.Kindly look into the matter &amp; reverse.",BAD REPUTATION,,,BAD REPUTATION,,,,,,,,Delay,subcategory': 'Bounce back loan delays',N/A,,Kolkata,,{'category': 'Delay',subcategory': 'Delay in bounce back loan'
2750,"@Bounce_BackLoan Good morning! I've looked under my pillow and nothing from the Tooth Fairy, in the garden and nothing from the Easter Bunny and in my inbox and still nothing from HSBC. Even a rejection would be welcome at this point!",DELAY,Delay_in_bounce_back_loan,,DELAY,Delay_in_bounce_back_loan,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2751,#BusinesstoBusinessB2B #FinancialServicesFinserv Singapore fintech Spark Systems lands $10.5m from Citi and HSBC https://t.co/0a9UIHYwkF,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Schiphol-Rijk, Haarlemmermeer",,{'category': 'General',subcategory': 'General'
2752,@Bounce_BackLoan @hmtreasury @BritishBBank @RishiSunak Just been on line banking government help will be in before bbl and Hsbc had a two week start on them,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Leeds, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
2753,Singapore fintech Spark Systems lands $10.5m from Citi and HSBC https://t.co/1nMc4scpAp by @Fintech_Futures,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Sheffield, England",,{'category': 'General',subcategory': 'General'
2754,"@Jairam_Ramesh #boycott all the banks that are doing business in India and proving our H'ble PM wrong. They make so much of money in India and doing this to our country.
 
 What say people?
 
 Anti National CITI
 Anti National Bank Of America
 Anti National HSBC
 Etc.",General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,"Mumbai, India",,{'category': 'General',subcategory': 'General'
2755,@michellemzal @HSBC_UK @TUIUK Good luck ðŸ¤žðŸ¼ðŸ˜Š,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
2756,"@Abdullaa33 Hi Abdullah, thank you for your tweet. You may contact our call center to assist you with replacing the Debit card and arrange for the new one to be delivered to you accordingly. Please tweet us again should you require further assistance. ^ZS",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,,,{'category': 'Reputation',subcategory': 'General Response from bank (thanks)',General response from bank,,UAE,,{'category': 'Reputation',subcategory': 'Good reputation'
2757,@neveiredale @HSBC_UK I bank with them too Neve. Theyâ€™re all mostly working from home. Iâ€™ve never been on hold for more than 5mins though ðŸ˜³ send my love to your mummy from me â¤ï¸,General,,,General,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,Hertfordshire,,{'category': 'General',subcategory': 'General'
2758,@HSBC_UK can someone assistant me with a issue I have since updating my overdraft please?,CUSTOMER_SERVICE_ISSUES,,,Customer Query,,,,,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays',N/A,,,,{'category': 'General',subcategory': 'General'
