,comment
557,"I would like to request support of international community, institutions and security forces to stop the illegal military coup in Myanmar which is in against with the rule of law, democratic norms and mandate of the elected government of Myanmar lead by democracy icon Daw Aung San Su Kyi and President U Win Myit. On behalf of our people, I would like to let international community know that we don't accept the decision and actions of military led non-elected pseudo government. We would like to request your action and support to us to release our democratic leaders and elected preliminary members and control the unlawful actions of the military.
We don't want to lose our hope on democracy.
We don't want to lose our hope to hear voices and see actions of international community to stand with us. We don't want to lose our hope to see the bright future of our country.
#SaveDemocracy
#SaveBurma
#ReleaseDemocracyLeaders
#SayNoToMilitaryCoup"
558,"Vishen, 

See this picture

company or individual selling product/ service in honor to improve the quality of people's life. Their sales are low even if the dedication to help is high. They know that they able to help but they need to battle with client resistance and fear and limitation believe that they do not deserve to receive the help. They do not believe that they worthy of investment in themself.

Potential client- suffer in silence and drawn without help.

both sides suffer from the resistance of the potential client, a client who desperately needs help, but due to believe that she/he not good enough to receive help, not able to say yes to it.

How it will help both sides if you know how to transform resistance, fear, and codependency before even talking of sign up?

My unique ability to guide people for the fastest and the most effective surrender to resistance-free life. I'm creating a platform with worldwide affordable access to it, as this bestseller abilities, we all require as air now.

I'm welcome you for successful cooperation.

Dm for details

Solomon Inna Rivatar

Expert of Emotion Quality"
559,I truly enjoy my drives through the mountains 🏔 ♥️☀️🏔
560,Thank you !
561,I like your reminder!
562,Me & myteam always looking 4ward on u ..we got your point...its really  different sir  . ❤ Malaysian .
563,Save it
564,
565,"im trying to hard to get support from your website. 
I paid for Silva Ultra Mind course 2 weeks. and i havent been able to start my course.
1) i logged in using facebook, and that email i no longer have access to.
2) i tried to change my email address but its not a feature that is available
3) i then tried to change my password, it said an email was sent to me, but i dont have access to that email.
4) the mind valley support which replies me once a week, told me to merge my accounts. I did as asked.
5) I still cant start Silva Ultra Mind course, my email still has not been, and neither was my password been change
6) it is now past the 15 days guarantee
What the HELL is going on with your support and service?
"
566,"In this short video, Vishen Lakhiani will explain and how you can identify each of these hungers and fully satisfy them - no snacking needed.
⠀
And all this week, Vishen and Eric will walk you through the ultimate ""food psychology"" guide to find out exactly where your hunger is coming from so you can beat junk food cravings forever.
⠀
👆 See this link to learn more: https://go.mindvalley.com/pYqf3q0-
⠀
P.S. They just filmed this new Masterclass in Estonia right before lockdown, so let us know what you think of the new set. 🎥"
567,"The promotional videos are really catchy, the masterclasses are really awesome. All the programs are well designed for personal growth.
I would have purchased the full access BUT the customer support is really really pathetic that is what keeps me away from buying it and trusting it."
568,"Your link is not working. Tried to sign up on different posts, but the sign up tab doesn’t work. Others complained too. Really wanted to get it, how can I get this masterclass? 
How disappointing."
569,I do intermittent fasting which is working perfect for me.
570,Highly recommend this programme for everyone 🥰
571,Preachy style.  Yuk.
572,Thank you !
573,In spanish please..
574,ক
575,Hello
576,Hello
577,Thank you
578,❤️❤️❤️
579,Do you have access to this Ben Chalmers
580,"im trying to hard to get support from your website. 
I paid for Silva Ultra Mind course 2 weeks. and i havent been able to start my course.
1) i logged in using facebook, and that email i no longer have access to.
2) i tried to change my email address but its not a feature that is available
3) i then tried to change my password, it said an email was sent to me, but i dont have access to that email.
4) the mind valley support which replies me once a week, told me to merge my accounts. I did as asked.
5) I still cant start Silva Ultra Mind course, my email still has not been, and neither was my password been change
6) it is now past the 15 days guarantee
What the HELL is going on with your support and service?
"
581,Profound
582,God bless you 
583,"Vishen, 

See this picture

company or individual selling product/ service in honor to improve the quality of people's life. Their sales are low even if the dedication to help is high. They know that they able to help but they need to battle with client resistance and fear and limitation believe that they do not deserve to receive the help. They do not believe that they worthy of investment in themself.

Potential client- suffer in silence and drawn without help.

both sides suffer from the resistance of the potential client, a client who desperately needs help, but due to believe that she/he not good enough to receive help, not able to say yes to it.

How it will help both sides if you know how to transform resistance, fear, and codependency before even talking of sign up?

My unique ability to guide people for the fastest and the most effective surrender to resistance-free life. I'm creating a platform with worldwide affordable access to it, as this bestseller abilities, we all require as air now.

I'm welcome you for successful cooperation.

Dm for details

Solomon Inna Rivatar

Expert of Emotion Quality"
584,"In this short video, Vishen Lakhiani will explain and how you can identify each of these hungers and fully satisfy them - no snacking needed.
⠀
And all this week, Vishen and Eric will walk you through the ultimate ""food psychology"" guide to find out exactly where your hunger is coming from so you can beat junk food cravings forever.
⠀
👆 See this link to learn more: https://go.mindvalley.com/B-YqecAM
⠀
P.S. They just filmed this new Masterclass in Estonia right before lockdown, so let us know what you think of the new set. 🎥"
585,"Learning mindful eating is real. I've learned a ton from the masterclass. Looking fwd to enrolling in the class in the near future. As a certified Health, Nutrition and Life Coach I have seen that this is one of the first things to address. Our beliefs about food and examining our relationship to eating. Loved what has been covered in this masterclass; the connection of our breath to our emotional state, to our beliefs and our whole relationship to food. 💜💜"
586,"Gentlemen Vishen:
1.- There is no teaching-learning process, since there is no interaction between the knowledge provided and the student's contention on the path of assimilation of knowledge
2.- The learning process does not have a tutor, to give greater security to the student. All learning in higher education has a tutor who accompanies the student in the course process.
3.- There is talk of developing, it is true, everything starts at will, but from the beginning of the world an apprentice has a Living Teacher, not a recording, not even artificial intelligence to answer emails. I want Mindvalley to respect its Advertising promise, ""if you don't like the course we will refund your money."" MY will is that I want humanity, not recordings and if you cannot offer live online classes with a teacher who can answer my learning concerns; then, my will requires the return of my $ 299.
4.- Being a Master in quality management of services and products, I am used to evaluating education services and my experience with you does not go and I will publish my experience evaluating each access point and response to the sale of a service. My name is Ana María Agüero Sáenz and I took my course on January 31, 2021 and I don't want it because they ARE NOT Live Classes.
Send emails and you don't reply to emails either."
587,Thank you !
588,❤️💜💪
589,"Sign up for FREE to find out the secrets the industry doesn’t want you to know about sugar, and get the ultimate guide to beat those junk food cravings we're all guilty of.
⠀
Take back control of your health and join in this week's Masterclass: https://go.mindvalley.com/B-YqecAM"
590,"It says ""No added sugar"". If you check the ingredients on that one it's made from purely squeezed orange. Meaning the sugar is naturally from the fruit itself. It isn't false advertisement. It never said less sugar or no sugar. The normal version is made from orange concentrate meaning it's not all natural sugar from the fruit, it has added sugar on that one."
591,I used to do lots of consumer research projects and I tell you what big companies they’ll make you believe something that’s not. Only way it’s to educate your self. 
592,Always preaching (sadly to the converted).  Please educate don't preach. Your impact will be bigger.
593,Está em português?!
594,Thank you!
595,Now im doing something like this here ..tq cause inpired us . ❤ Malaysian
596,
597,Brandy Beasley
598,🍅🥬🥦🍓🍇🙌❤️💜
599,
600,Innas Iqbal
601,Hahahahah MGA TAGA PHILIPPINES ATTENDANS CHECK'
602,Ali Golightly 
603,Leiah Drew Hightower Judy Duberry
604,"most  grocery  stores  sale  poison "")) the how eat dr sebi way most time"
605,sea  mosses  up :))
606,
607,
608,"Sign up for FREE to find out the secrets the industry doesn’t want you to know about sugar, and get the ultimate guide to beat those junk food cravings we're all guilty of.
⠀
Take back control of your health and join in this week's Masterclass: https://go.mindvalley.com/pYqf3q0-"
609,Thank you!
610,Where can I get the chart of varying names for sugar from in UK please?
611,Hello what's up number
612,Thank you for sharing this... I have just been to a supermarket and looked at some labels for SAVOURY ITEMS....the amount of SUGAR is staggering 😳this video will make us all very aware of what we have to do in the future....THANK YOU 🕊🙏🏽🪐💓
613,Thank You. Trying to work thru the old traumas that are resurfacing now. Not pleasant.
614,If I buy Mindvalley all access would I be able to access your classes in Spanish too? 
615,What a powerful motivation💓
616,"Thank you, I really needed that! 🍀🍀🙏"
617,Brandy Beasley 😚
618,Thank you!
619,I'm an undergrad and by grace or whatever call it I got internship but just like I saw in vishen's video the snoozing of alarm is happening with me and I'm unable to understand or choose something wherein ofcourse there is money but happiness to go to that work. I'm unable to find a path. Can Mindvalley help ?
620,Facing fears and anxieties to get outside my business as usual comfort zone and habits.
621,Creating visions to change the world and Seeing setbacks as stepping stones to success.
622,Creating visions to change the world. 
623,Creating visions that change the world
624,"This is exactly what I need and what I’m struggling with today. I grew up with a narcissistic parent, which I didn’t even realize until I was in my late 30’s and had lost EVERYTHING I had ever dreamed of and wanted for my life to a long term relationship with the father of my children, who after a single therapy session (after a thousand before that) explained to me what it really meant to be abused by a narcissist. After looking back I can now see that mostly all of the “friendships” and “romantic relationships”I’ve been in, were with the same type of people. I grew up believing, deep down in my inner core that there was something inherently wrong with me. I accepted and I guess, expected it because it’s how I believed I NEEDED to be treated. I might even go as far as to say, even if I didn’t love or like them and I knew that they didn’t love me, I felt safe when I had them in my life! It’s crazy, right? Talk about NEEDING to be reprogrammed! 
Right now I’m enrolled in a similar, targeted program for people who have PTSD due to this abuse and it involves slowing down brain waves, getting to the subconscious and superconscious mind, and quantum healing, meditation... I pay half of what I would here, but I know that I have to be more committed to the program in order to change but I allow the problems that come up in my daily life to guide me. Goals??? That’s a joke because I have things that I know I want and are actually more attainable than ever before but I allow things to happen to me (my days are decided for me because SOMETHING ALWAYS comes up that causes me so much anxiety that by the end of the day, I have accomplished nothing and I feel like I’m a hamster in a spinning wheel. 
I NEED to learn how to rise above the challenges that come my way JUST to be able to start to heal... otherwise I am throwing $55/m down the toilet! I would love to invest in this program because I do believe that we should do something every day that our future self will thank us for and that investing in ourselves is the best investment we can make... but I have to learn how to make it a part of my day, every single day, not just once a month when I have an hour drive, by myself (without my daughter playing her iTunes playlists!)"
625,"They'll tell you all the secrets the food industry doesn’t want you to know and even give you the ultimate guide to beating junk food cravings forever.
⠀
And that's only half of it. 🔥
⠀
Come and take back control of your health in this week's Masterclass: https://go.mindvalley.com/B-YqecAM"
626,Waiting to watch the video but I’m getting annoyed with the oversell it’s tooooooo long 
627,Thank you!
628,"They'll tell you all the secrets the food industry doesn’t want you to know and even give you the ultimate guide to beating junk food cravings forever.
⠀
And that's only half of it. 🔥
⠀
Come and take back control of your health in this week's Masterclass: https://go.mindvalley.com/pYqf3q0-"
629,"I miss the Vishen that spoke
up against corporate giants being unethical with regards to advertising and sponsorship to help promote unhealthy food
choices!"
630,The Food Babe (Vani) has been advocating against this stuff for years & taking flack for pointing out the poisoning of our food ingredients. Keep up the good fight everyone! Research the ingredients & vote with your wallet!! 💪
631,Thank you!
632,
633,"All this week he'll be here to help you identify where your hunger is REALLY coming from so you can find ""food freedom"" and beat those junk food cravings forever.✨
⠀
You won't want to miss this one.
⠀
Link here: https://go.mindvalley.com/B-YqecAM"
634,I’d love to do this course but it is too expensive 
635,I'm diabetic and hv to deal wz constant mind tricks of hungry. Its not easy at all.
636,"All this week he'll be here to help you identify where your hunger is REALLY coming from so you can find ""food freedom"" and beat those junk food cravings forever.✨
⠀
You won't want to miss this one.
⠀
Link here: https://go.mindvalley.com/pYqf3q0-"
637,It took me years to get out of the habit of eating at set times etc. 
638,Thank you!
639,"I would like to sign up for Wildfit after watching the masterclass but I had a query which I sent in, wasnt answered properly just a platitude so i went on the forum and saw lots of people have had payment, access and all manner of issues and with getting through to customer service for help."
640,Nice.  linktr.ee/Palcidus
641,I missed last 10 minutes of masterclass. How do I get it. 
642,Treat others as you want to be treated.....
643,I love Neale Donald Walsch quirky way on stage and ofcourse what he teaches is amazing. 🤩
644,Thank you!
645,Good
646,
647,"Years ago, Eric Edmeades showed Vishen Lakhiani that when we reward or soothe ourselves with junk food, we're actually punishing ourselves more than anything else.
⠀
And we don't stop there... We share it with our loved ones. 😬
⠀
So from then on, Mindvalley was never the same. The donut tradition at our office was dead 🍩. Vishen Lakhiani brought Eric's 90-day health program WildFit to his family, colleagues...
⠀
And now we want to share it with you.
⠀
You deserve to feel amazing, so we want to invite you to join in this week's Masterclass and learn the ultimate step-by-step guide to beating junk food cravings forever. 🤯
⠀
Check out this link to learn more: https://go.mindvalley.com/pYqf3q0-"
648,I love u  
649,I love it and plan to make the sacrifice now
650,Thank for sharing Vishen Lakhiani
651,Nicolás Andrés Bastián Monarca 
652,"Your ads on Youtube are EXTREMELY INVASIVE and ANNOYING. 
I don't care about Ayahuasca. 
And, I and many others Youtube users certainly don't care about what woke Vishen Lakhiani and don't want to be interrupted every 10 mins.

Mindvalley trie to be MINDFUL! if the founder and the people on your team have any idea what that means.

Or should we follow your example and  start posting this kind of post every 10 minutes here to nail it into your heads."
653,Im from   nepal 🇳🇵🇳🇵🇳🇵
654,"Vishen thank you for bringing Geoff Woods to us, today.  "
655,"You are one of a kind my friend. 
U point out whats going on and do not hesitate cause of fear.

Keep up your anazing work and max god bless you my friend.

Even thought I have no idea how to afford all the courses I would love tp join like wildfit i know there will be the day when I can break out this hell my lil 3 kids and wife are facing.

Just by knowing that people like you exist my tears drop smoothly down, but NO sad and desperate tears but tears of feeling save that there are people out there who make money by doing what they love and you change the world to a BETTER and not to a WORSE!

Thank you man!
Alexander Schlienbecker from Germany"
656,Please tell Samantha Lowrimore that I love her!
657,No doughnuts!  
658,"The end of game 🎯 is my name it!
Keven on 11 the floor with ambrela in fotography was not paid! All iranien pharmacy with dentistry on ❤️ heart controlling lego will not play in sleeping bag  in tent on my contract of rent payment on 🌎🌍!
Shame ...I glad we sell fled zipper!"
659,Thank you!
660,"Years ago, Eric Edmeades showed Vishen Lakhiani that when we reward or soothe ourselves with junk food, we're actually punishing ourselves more than anything else.
⠀
And we don't stop there... We share it with our loved ones. 😬
⠀
So from then on, Mindvalley was never the same. The donut tradition at our office was dead 🍩. Vishen Lakhiani brought Eric's 90-day health program WildFit to his family, colleagues...
⠀
And now we want to share it with you.
⠀
You deserve to feel amazing, so we want to invite you to join in this week's Masterclass and learn the ultimate step-by-step guide to beating junk food cravings forever. 🤯
⠀
Check out this link to learn more: https://go.mindvalley.com/B-YqecAM"
661,❤️💜
662,Thank you!
663,Vishen Lakhiani is Brilliant
664,"All the various quests through his studio?  I am suggesting to national sports orgs above seating digital wall arounds. Stadia to home to stadia. This IS the future. Active real-time 2 way now at 23,000 he building bigger for march. Soon it will be economical for sports orgs."
665,How about it vishen?
666,My unfolding and learning mind takes me gratefully on an eternal journey 🤩
667,Jim is a great instructor! 
668,Thank you!
669,I have been watching for years now I want to do samething about it all as I am arvolving
670,love this!! 
671,سكس
672,Sophia Peace Tengan
673,This young woman is Entirely beautiful. 
674,God was sending a message through her to the evil ones
675,❤️❤️❤️
676,Beautiful and inspiring poetry. Thank you for for such enlightening us. 
677,What a lovely speech but such a beaitiful  black woman such beauty
678,Young talented n inspired
679,"Beautiful,thank you very much"
680,Beyond amazed at her talent!! 
681,"Prayer to protect you and cures covid-19: 
“Our Lord, we have wronged ourselves, if You do not forgive us and (not) have mercy on us we certainly would be of the losers.”. And after repenting they should say: “Oh Allah, I am Your servant, I ask you by the fact there is no God except You, and by the fact of Your mercy that You ordained upon YourSelf, and by the fact of greatness of the Bliss of YourSelf’s good-pleasure that is greater than the bliss of Your heavenly-garden that you heal me from the chastisement of corona or remove it away from me surely I believe in the true caller from You. Oh Allah, remove Your chastisement away from us and from every entrance so we would follow the path of Truth from You, and to make us steadfast on fulfilling what we promised You — O Who comes between man and his heart, surely we do not have except Your mercy that You ordained upon YourSelf. Indeed, if You do not forgive us and (not) have mercy on us we would surely be of the losers. Oh our Allah, You have said in Your decisive Book: {And your Lord says: Pray to Me, I will answer you.}Truthful Allah the Great [Ghãfer] 40:60. Supplication-prayer and turning (close to Allah) is from me while responding is from You. Indeed, You never violate Your promise. Our Lord, glory be to You, surely Your promise is ever True and You are the Most Merciful than all who have mercy. O our Allah, make us steadfast upon fulfilling what we promised You to follow Allah’s global caller khalifa of Allah in the land; the Imam Mahdi Nasser Mohammad Al-Yemeni. O our Allah, make sending him as favor upon us and not affliction against us because of our turn away from the true call of the Imam Mahdi Nasser Mohammad Al-Yemeni”. 
Coronavirus and the decisive explanatory-statement, and it is not a joke.. 19 - 05 - 2020/ 06:37 pm"
682,Inspiring.So beautiful.❤️
683,A wise soul inhabits  this beautiful mortal.💛
684,"There is always light 
If only we are brave enough to see it
If only we are brave enough to be it

❤️😍❤️"
685,"Yea.. She read well, something from the notes made by someone who should have really cracked their brains to divert the attention from the far from awe inspiring Biden's Speech... This is just old school tactics..😃"
686,"Well I'm a spiritual person, i think spirituality should be part of politics too, but don't make the mistake of merging spirituality and a true change concept with those democratic movements as Biden and friends because they're no longer representing the evolution we're talking about!!"
687,How lovely 
688,"Poem is presumably or odd to be dedicated to the Democrats. The message is for them, whether you like it or not..."
689,Hi
690,Beautiful ❤️
691,. . . . . .
692,Such an inspiration. Love love love!!!!
693,I can listen to this poem over and over again!  You lifted our spirits with your gift of speech and poetry!
694,To Be Brave Enough to be the Light (paraphrased of course)
695,Thank you! you 're poem very nice.
696,NOW they want to do that
697,"An eternal process, keeps making life interesting 🤩"
698,Hi. I've just seen one of your videos on YouTube and you talk about Steven kotler saying we live in a monophase socierty? I may have this wrong but I've been trying to find more on it...m
699,Your only limit is You
700,"Join the limited seats for Vishen Lakhiani open live call and learn this art: https://go.mindvalley.com/gsSIX6Cc
⠀
And he'll guide you through an immersive forgiveness protocol that will improve your life from the inside out. ✨"
701,Yes it true! 💞
702,"That was very strong and very generous as always, Vishen.
Thank you and be blessed🙏🏻🌞"
703,🙏🏽 🕊️ 💚
704,Forgiving sets us free
705,A little feedback: I've been trying to watch the Forgiveness video but the link my email takes me to is just the Mindvalley page - no video... 
706,"Me gustaria asistir... Pero para empezar no se lo q dice, ya k no domino el inglés.
Gracias siempre Vishen."
707,"I am forgiving my narcissist mom after coming from prison, but when I sit down talk to her about why she did that to me,she never admit her mistakes and she pushed it to me. She don't feel guilty or remose at all
I really want to her but she doesn't feel sorry at all. She's already 77 and I'm 55 year old."
708,"I forgive yesterday to have tomorrow. I forgive who I was to be who I am now.
And I forgive the people of the past to give to the people of the present what they deserve."
709,Roltans.wn.actions.
710,WORRY NOT ALMIGHTY WILL COMPENSE TO YOU ALL THAT YOU HAVE LOST WITH MUCH GREATER AND WHAT IS BETTER UNTO YOU ; 70 FROM ANFAL:SPOILS OF WAR :8:VERSES 75 THE HOLY QUR'AN
711,"Hello Vishen. I had problems logging on to Zoom. this morning! Every time I managed to connect I was disconnected. I was very interested in joining this live addressing  forgiveness, are you going to post the replay?"
712,"Question for Mindvalley. Does the Evercoach course are included in the anual membership? If not, is there an anual membership for Evercoach?"
713,"To understand what you misunderstood in your own experiences- opens your heart,mind and eyes to the real hurt of the real reality someone else is living. "
714,Thank you Vishen Lakhiani the 8 step has helped me - I created a template copying and repeated with so much forgiveness of my younger self....that work is necessary before I go to persons or acts etc....I feel lighter 🙏🏽
715,Fake guru. James jani is on the way to expose you
716,Wonderful session.
717,When we forgive someone we accept he or she has done something wrong but it has no effect on our existence. We must forgive so that we can realize how kind we are. Forgiveness reflects our kindness. This kindness can't change the person whom we forgive but it obviously change our own state of being. Forgiveness expands our vision on kindness.
718,"Because to rest my soul,and to live pease"
719,Because we not lose that special person or even not want to face their rude behavior🙃
720,Kerri Straughen
721,"I forgive you Joe for destroying American, in advance.
Wow, that really works, feeling so much better, thank you V."
722,Gratitute is a wOrd I like much mOre 🤔!
723,Read people's mind.
724,HelloI needy your help. :) anyone has an email address that I can contact to help me with my account. I have tried everything and every way to contact them but not reply. Iam in the middle of a course and cant get  I to the course-I have tried everything. I have paid 5 days ago and this is what I have received. Thank you. I missing so many daysss :(
725,"After years of researching the art and science of forgiveness, he’s found a step-by-step forgiveness methodology that scientists have found gives the best results in the least amount of time.
⠀
In this week's special live training, Vishen will guide you through an immersive 20-minute forgiveness practice so you can learn to be at peace with anyone at any time.🌱
⠀
Check out this link to sign-up for free: https://go.mindvalley.com/gsSIX6Cc"
726,Semanda Derrick milo this might b of help u might like it
727,I missed the session today on forgiveness. Will it be there for me to hear it now 
728,Amazing workshop! I’m helping clients heal using the Mastery Exercise! Forever grateful!! 🙏🏻💕🙏🏻
729,Amen
730,جميل
731,Thank You ❤️
732,🙏
733,thank you for the reminder💞
734,Amen 🙏
735,Thank you!
736,AMEN.
737,"If you need to forgive yourself, forgive an ex, heal some past pain, or you're just interested in exploring the science and spirituality of forgiveness, block off 90 mins and join me in this live training: https://go.mindvalley.com/gsSIX6Cc"
738,"At 10:07 a.m. on 23rd  I am told I cannot join the meeting because ""it is at capacity"". Unless someone leaves. I wish I had known this. Just late by 9 minutes and I was probably among the first batch of folks to register. This has never happened to me at a Zoom event. I wish this was mentioned on the registration page."
739,"Forgiveness, putting our ego aside and open our heart and feel complete at that very moment 💖✨💖"
740,Question ~ to forgive over spending habits  which is non stop even saving is lesser than ever
741,Just asking for your prayers. My husband abandoned me. He was my paid caregiver. He made me sell my car. Put full coverage on his and then left with the car and all our money. I'm alone and very scared. Please pray for me.
742,"Living in present helps to neutralize past that simply means your daily awareness and bliss will take you to path of forgiveness.
I really want dive down deep regarding forgiveness ,waiting for this class❤️"
743,I like how he answers our questions.......
744,Yes thats true!!
745,"A question on forgiveness is for people who looking at abuse, trauma, violence.  What does the forgiveness process look like for them...?  "
746,"How do u forgive someone who doesent care one bit if u forgive or not,,they would just look at you and say are u stupud"
747,Some things are never forgivable
748,"Forgiveness.... - to become aware and fully understand the true reason why someone did what they did to us...

They did it to us and for us... 

to give us a chance to become who we were meant to become. The chance for our greatness.

We choose. Either it will break us or make us. 

Sadly, many people do not even see that chance..

A real master forgives and turns that forgiveness into
gratitude."
749,There are no victims. 
750,How to personally contact mindvalley? 
751,"Forgiveness is a tool to NEUTRALIZE Inherited MEMORIES from the past, Memories that keep on playing repeatedly - Memories of Hurt, Anger, Grudges, Jealousy, Negativity, Unworthiness, Victimhood & Blocks that keeps us away from the sight of Opportunities &  Excellency, We Forgive to make an end of these  memories, dysfunctional programs ( Take the power back )
So that we  create a room, a space for - INTELLIGENCE to BREED in the mind, To act out of INSPIRATION & NOT out of MEMORIES.."
752,Dealfina Osman...check this out
753,"I hope, someday we meet. Big fan of yours."
754,For how long we keep forgiving someone when the case is you forgive and get hurt again from the same person. The problem is that you can’t get away from that person. Talking about family members. 
755,"Life is fun when there is someone you love, someone to spend your time with, someone to share a meal, someone to tell your secrets. I remember the moment when I decided to let go of Sfiso because of his bad habits, all the work I was doing seemed useless. My daughter used to ask why daddy was coming home late and why we were no-longer sitting on the dining table to share a plate. It was clear that my husband was having an appointment with someone he didn't want us to befriend.
I was heart broken when I found out that he was sleeping with my own friend Thembi. I found this out when I was at the saloon that my own friend was boosting about how she is the one eating my cake now. I didn't know what to do, fight off Thembi or divorce Sfiso and take care of my two children since they were now grown. The distance between me and Sfiso increased, the rumors made it tense. One day I decided to face Sfiso and say it in his face and to my surprise he wasn't shocked at ll and he even told me he could have as many women as he wished for. I was confused and needed help. I consulted with different psychologists, our religious leaders, from family members and friends that is where I was advised to consult Mama Baker  that She could help solve my problem(end my nightmare). I was given his contact and decided to call her. she listened to me and said she would help me by making the Lost Love Spell since I was still in love with my man.
I couldn't travel all the way from Durban to Sandton during the lock-down and I was wondering how this was going to be possible. He told me that we can make the spell online i.e she can cast the spell at the Altar and direct me on what to do. I listened and followed her directions. I paid 2000 rand for the materials to be used for the spell to Mama's account. she streamed the casting of the spell to me early in the morning.
On the day of casting the spell, Thembi my sworn enemy came to my apartment and I called Mama Baker before  letting her in because I was surprised where she had got the guts to come to my home. Mama said I should let her in at once and listen to what she has to say. I told the security to allow her to come in. She came at a time when me and Sfiso had not yet left for work. She said openly "" Am sorry sisi I didn't mean to ruin your life, forgive me for cheating on your husband"" then she said to Sfiso in-front of me that she was fed up of their relationship and was moving on to find someone for herself. I was stunned, so I decided to call Mama Baker to explain what was going on, she said that the spell had made Thembi realize that she was in the wrong position and needed to let go of my man. Sfiso too was guilty and made me an apology with a brand new E350 to show that he was really sorry for his actions.
All this wouldn't have been possible without the help of Mama Baker (+27655918270 "
756,Forgiveness is a strength ..
757,"Agressors must be held accountable for what they did, anything else is detrimental to growth."
758,"By forgiving we are setting ourselves free from strong emotions of anger,hatred, jealousy,and hurt. But forgetting events is difficult if one has gone through painful experiences"
759,
760,"🤦‍♂️🤦‍♂️🤦‍♂️ so god tells us to find self, meanwhile EVERYONE SEEKS OTHERS ONLINE? 😂😂😂🤷‍♂️🤦‍♂️"
761,"How to forgive yourself, the hardest one of all."
762,"We hope this 4-minute video inspires you to finally let go of the hurt.
⠀
And if you want to learn HOW you can actually make forgiveness a liberating daily ritual...
⠀
Join Vishen in a special live-training this week: https://go.mindvalley.com/gsSIX6Cc
⠀
P.S. Thank you so much ICON Media for this video 🎥"
763,🙏❤️😇
764,Paul Hudson This is interesting. Xx
765,🙏🙏🙏🙏🙏🙏🤔
766,🐝 it
767,"🙏 Vishen Lakhiani. Thank you for sharing. The Rock i carry. Will prevent me move forward to find other Happiness or find New Life and Experiences. Thinking repeatly cause me unhappiness and fustrated till want commit suicide. Thank you God and my 🙏🙏🙏Loveone🌈 (wife, mom) for being beside me like guardian angels 🌈 repeatedly explain to me this Rock or Burden i carry."
768,No
769,"No matter how, for me I would let go to maintain a peaceful mind! However deep down in my soul I know they have to face judgment as this is what they deserve !"
770,watch Gurudev's session him... its amazing !!
771,The most merciful person is the one who forgives when he is able to take revenge
772,Thank you!
773,Varma
774,Johanne Groubos good listen
775,Amazing...🙏❤🙏
776,Merlin Hallock   this is what ive started working on  
777,"Everyone deserves forgiveness simply because people only know to treat others or understand another as well as they have treated themselves or as far and as deeply have understood themselves. Knowing this one simple thing can be a game changer for those who are forgiving because forgiveness liberates both the person who inflicts and the one who suffers. Currently during distancing, as we spend the better parts of our time on screen working, communicating, conversing, and connecting, when we log off we realize how sapped we are and much of pent up feelings of past difficulties or past traumas or challenges could come up for release. I am looking forward to going deeper and learning about the nuances of the methods of forgetting. Only retaining the lessons learned, not the drama and agony themselves especially if in the present moment when trying to keep our vibe high and soul tribe close, little and big things trigger memories of past trauma. Whether generational or of a single life time from childhood, friendships etc. How to gradually mute and erase those triggers because ultimately we each are a work in progress. In my world of the healers, we call it deep shadow work. I eagerly look forward to what the master teachers here at the awesome Mindvalley have to say about the subtle art of forgetting.🙏💜🙏"
778,Thats really eye opener...Good one sonia thx
779,"No, forgiving without first healing is false forgiveness, a method preferred by those who hurt us in the past and usually continue to hurt us in the present. That's based on dissotiation."
780,"In this Live Training This Saturday 23rd of January 8AM (PST), 11AM (EST), 4PM (GMT), discover how to create your own forgiveness practice to start gaining the same benefits that come from inducing these powerful states.

Get the Zoom call link here: https://go.mindvalley.com/gsSIX6Cc"
781,"🙏 Vishen Lakhiani. Thank you for sharing. The Rock i carry. Will prevent me move forward to find other Happiness or find New Life and Experiences. Thinking repeatly cause me unhappiness and fustrated till want commit suicide. Thank you God and my 🙏🙏🙏Loveone🌈 (wife, mom) for being beside me like guardian angels 🌈 repeatedly explain to me this Rock or Burden i carry."
782,Hello all they people from Mexico
783,"Exactly. Jesus said in the bible,if we don't forgive others,then the heavenly father in the heaven won't forgive us neither. Forgiveness actually is a choice to release ourselves.God bless you,your business and your family."
784,Julie Poulin...j’ai tout de suite penser à toi en voyant cette pub! 🤣🤣🤣😜
785,Difficult to accept this at face value...yes you could forgive but after getting even otherwise you will make yourself vulnerable to Narcissistic abuse..
786,Bbw HD video
787,Thanks!
788,Bbw bbw
789,Thank you!
790,"TO FORGIVE : TO CARE THE SENTIMENTS OF EVERYONE SENSIBLE AND DESIGNATED HEARS , WHAT ELSE ?"
